rps_series_id,rps_quarter_date,ai_adoption_pct
RPSGENAIUSAGESHAREIND12,2025-07-01,62.4384828116
RPSGENAIUSAGESHAREIND12,2025-10-01,61.6869936106
RPSGENAIUSAGESHAREIND12,2026-01-01,63.9550105232
RPSGENAIUSAGESHAREIND12,2026-04-01,69.5429443332
RPSGENAIUSAGESHAREIND13,2024-07-01,58.2439002109
RPSGENAIUSAGESHAREIND13,2024-10-01,68.4652585255
RPSGENAIUSAGESHAREIND13,2025-01-01,72.6112594841
RPSGENAIUSAGESHAREIND13,2025-04-01,49.3573230881
RPSGENAIUSAGESHAREIND13,2025-07-01,64.7946973248
RPSGENAIUSAGESHAREIND13,2025-10-01,72.0572476561
RPSGENAIUSAGESHAREIND13,2026-01-01,63.8975062502
RPSGENAIUSAGESHAREIND13,2026-04-01,64.4594343994
RPSGENAIUSAGESHAREIND14,2024-07-01,21.0385400664
RPSGENAIUSAGESHAREIND14,2024-10-01,19.32683273
RPSGENAIUSAGESHAREIND14,2025-01-01,20.7484706108
RPSGENAIUSAGESHAREIND14,2025-04-01,27.5099585876
RPSGENAIUSAGESHAREIND14,2025-07-01,29.4045811105
RPSGENAIUSAGESHAREIND14,2025-10-01,28.4324737268
RPSGENAIUSAGESHAREIND14,2026-01-01,29.3459699127
RPSGENAIUSAGESHAREIND14,2026-04-01,40.4601157323
RPSGENAIUSAGESHAREIND15,2024-07-01,40.7939268081
RPSGENAIUSAGESHAREIND15,2024-10-01,31.6266590147
RPSGENAIUSAGESHAREIND15,2025-01-01,37.8938719868
RPSGENAIUSAGESHAREIND15,2025-04-01,37.0550913567
RPSGENAIUSAGESHAREIND15,2025-07-01,43.0692902859
RPSGENAIUSAGESHAREIND15,2025-10-01,50.506410362
RPSGENAIUSAGESHAREIND15,2026-01-01,54.5618569187
RPSGENAIUSAGESHAREIND15,2026-04-01,52.5851862896
RPSGENAIUSAGESHAREIND16,2024-07-01,23.4425998569
RPSGENAIUSAGESHAREIND16,2024-10-01,29.6282092545
RPSGENAIUSAGESHAREIND16,2025-01-01,31.0588149939
RPSGENAIUSAGESHAREIND16,2025-04-01,26.9159098341
RPSGENAIUSAGESHAREIND16,2025-07-01,23.0138873982
RPSGENAIUSAGESHAREIND16,2025-10-01,31.9074291972
RPSGENAIUSAGESHAREIND16,2026-01-01,34.6077780807
RPSGENAIUSAGESHAREIND16,2026-04-01,37.1653034619
RPSGENAIUSAGESHAREIND17,2024-07-01,22.6317678043
RPSGENAIUSAGESHAREIND17,2024-10-01,28.8112942802
RPSGENAIUSAGESHAREIND17,2025-01-01,30.058035254
RPSGENAIUSAGESHAREIND17,2025-04-01,34.3794733773
RPSGENAIUSAGESHAREIND17,2025-07-01,29.0805147801
