census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,9429.5308,207605.19509999998,3,2014-03-01,excluded
170,3,3761.6229,75232.458,1,2014-03-01,excluded
170,4,567588.1425,20656637.7633,243,2014-03-01,excluded
170,5,2665.1509,93280.2815,1,2014-03-01,excluded
170,6,59015.2729,2042636.7134,35,2014-03-01,excluded
170,7,259469.2011,7847084.8919,158,2014-03-01,excluded
170,8,3134.3923,62687.846,1,2014-03-01,excluded
180,1,463.4983,18539.932,1,2014-03-01,excluded
180,2,2781.8734,90406.60429999999,2,2014-03-01,excluded
180,4,330462.5465,14169395.0277,172,2014-03-01,excluded
180,6,60712.4293,2749716.1924,38,2014-03-01,excluded
180,7,384963.699,14682674.9266,263,2014-03-01,excluded
180,8,12289.5651,243428.83099999998,7,2014-03-01,excluded
190,1,14561.9583,596001.4347,12,2014-03-01,excluded
190,3,5385.8387999999995,208363.0624,4,2014-03-01,excluded
190,4,12489.241899999999,528378.4299999999,5,2014-03-01,excluded
190,6,3287.3883,131495.532,1,2014-03-01,excluded
190,7,4088.7259999999997,122665.019,2,2014-03-01,excluded
270,4,64160.5469,2577808.5224,30,2014-03-01,excluded
270,6,8513.523,262670.928,6,2014-03-01,excluded
270,7,22492.9306,830207.079,17,2014-03-01,excluded
280,1,1798.0691,71922.764,1,2014-03-01,excluded
280,2,551.478,19301.73,1,2014-03-01,excluded
280,3,2178.614,87144.56,1,2014-03-01,excluded
280,4,9196.5299,361210.547,4,2014-03-01,excluded
280,6,3071.2962,99633.2196,6,2014-03-01,excluded
280,7,20467.0925,513334.3629,27,2014-03-01,excluded
280,8,448.672,13460.16,1,2014-03-01,excluded
290,1,2032.6766000000002,81307.06400000001,2,2014-03-01,excluded
290,2,5005.5883,195915.61440000002,2,2014-03-01,excluded
290,3,710.6882,17593.56,2,2014-03-01,excluded
290,4,94362.3971,3410377.7907000002,37,2014-03-01,excluded
290,6,5475.1433,208533.4504,5,2014-03-01,excluded
290,7,33661.2447,1254101.7935,20,2014-03-01,excluded
370,4,86999.01359999999,4068900.8441,52,2014-03-01,21
370,6,3601.3963,154671.3475,2,2014-03-01,21
370,7,5477.9949,118071.5432,3,2014-03-01,21
380,4,96509.0337,3991281.3832,58,2014-03-01,21
390,4,54482.6688,2475757.8046999997,35,2014-03-01,21
390,6,2668.361,42693.776,1,2014-03-01,21
470,4,69967.3308,3185474.3995,46,2014-03-01,21
470,5,3630.1677,145206.70799999998,1,2014-03-01,21
490,1,3393.1039,135724.15600000002,1,2014-03-01,21
490,4,736307.1777,36244963.9151,349,2014-03-01,21
490,5,1670.3939,100223.634,1,2014-03-01,21
490,6,9047.3322,555126.5234000001,8,2014-03-01,21
490,7,16587.1477,655506.4772,7,2014-03-01,21
570,1,23803.0317,1066853.6454,9,2014-03-01,22
570,2,779.8494,31193.976,1,2014-03-01,22
570,3,28029.4553,1053205.1904,11,2014-03-01,22
570,4,497650.92829999997,21956607.5335,215,2014-03-01,22
570,5,25889.8309,1014237.0429,14,2014-03-01,22
580,4,101458.0325,4451392.7199,43,2014-03-01,22
580,5,6273.3418,344412.57070000004,2,2014-03-01,22
590,2,969.9977,38799.908,1,2014-03-01,22
590,3,14952.9864,564278.649,6,2014-03-01,22
590,4,86179.6452,3492006.3331,33,2014-03-01,22
590,5,2644.9557,95218.4052,1,2014-03-01,22
670,1,2020.3951,66673.0383,1,2014-03-01,22
670,2,16109.2204,689332.398,7,2014-03-01,22
670,3,81771.1602,2957304.8038,37,2014-03-01,22
670,4,99396.7642,4231954.3152,38,2014-03-01,22
670,5,2952.2341,129064.91840000001,2,2014-03-01,22
680,3,57078.512,2254432.7258,25,2014-03-01,22
680,4,26089.8576,1221694.6365,8,2014-03-01,22
680,5,1799.9503,71998.012,1,2014-03-01,22
690,3,9232.2855,398421.95229999995,5,2014-03-01,22
690,4,6763.3557,271929.47250000003,4,2014-03-01,22
