census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,3843.025,153721.0,1,2012-09-01,excluded
170,4,638995.4053,24692571.3359,285,2012-09-01,excluded
170,5,935.9072,18718.144,1,2012-09-01,excluded
170,6,49521.0146,2561884.9424,42,2012-09-01,excluded
170,7,307295.8765,11275681.3366,201,2012-09-01,excluded
170,8,11238.4115,390968.63800000004,9,2012-09-01,excluded
180,2,4845.0782,157126.133,2,2012-09-01,excluded
180,3,4203.8343,25223.005800000003,1,2012-09-01,excluded
180,4,385877.7208,15898425.1113,199,2012-09-01,excluded
180,5,3597.6715,143906.86,1,2012-09-01,excluded
180,6,82155.3385,3893474.4965,61,2012-09-01,excluded
180,7,367516.4502,16169722.9882,247,2012-09-01,excluded
180,8,20073.4737,862089.3178,6,2012-09-01,excluded
190,1,34657.4545,1587415.4884,27,2012-09-01,excluded
190,2,4606.5396,189210.1233,3,2012-09-01,excluded
190,3,3796.3907,165945.0691,2,2012-09-01,excluded
190,4,4566.79,178104.81,1,2012-09-01,excluded
190,7,5561.8818,55420.952399999995,3,2012-09-01,excluded
270,4,50895.6458,2003605.4934,26,2012-09-01,excluded
270,6,9218.3085,391883.68080000003,6,2012-09-01,excluded
270,7,16092.187399999999,698792.1995,10,2012-09-01,excluded
280,1,2731.5374,87409.1968,1,2012-09-01,excluded
280,2,3032.753,121310.12000000001,1,2012-09-01,excluded
280,4,13188.0793,569560.4206,9,2012-09-01,excluded
280,5,1295.9261,53201.112,4,2012-09-01,excluded
280,6,10870.717,157427.3762,10,2012-09-01,excluded
280,7,21328.4781,742006.4332,26,2012-09-01,excluded
290,2,1197.0865,47883.45999999999,1,2012-09-01,excluded
290,3,4217.8798,192772.274,2,2012-09-01,excluded
290,4,111375.6582,4950080.6562,49,2012-09-01,excluded
290,5,10276.2062,315318.2205,4,2012-09-01,excluded
290,6,12486.6956,496923.0724,8,2012-09-01,excluded
290,7,34206.417,1217953.8795999999,21,2012-09-01,excluded
370,4,110532.69499999999,5258589.1856,48,2012-09-01,21
370,7,3509.6171,157932.7695,1,2012-09-01,21
380,2,3956.4524,79129.04800000001,1,2012-09-01,21
380,4,91704.31509999999,4301628.009099999,70,2012-09-01,21
380,7,379.8795,15195.18,1,2012-09-01,21
390,1,2142.1945,85687.78,1,2012-09-01,21
390,4,37490.9174,1432776.9605999999,30,2012-09-01,21
390,7,311.6549,9349.647,1,2012-09-01,21
390,8,284.0271,9940.9485,1,2012-09-01,21
470,1,1292.638,51705.52,1,2012-09-01,21
470,4,96091.1627,4225745.456,56,2012-09-01,21
470,6,2500.2677000000003,125417.777,3,2012-09-01,21
490,4,592073.0209,28628854.2287,287,2012-09-01,21
490,6,19257.7405,733940.4645,10,2012-09-01,21
490,7,23378.034,1008654.9217000001,14,2012-09-01,21
570,1,21534.989999999998,989932.5266,7,2012-09-01,22
570,2,11944.0955,391631.11160000006,5,2012-09-01,22
570,3,37760.9733,1521803.352,17,2012-09-01,22
570,4,509726.0783,21171953.1572,247,2012-09-01,22
570,5,39996.871,1520788.8248,24,2012-09-01,22
580,3,2862.1618,143108.09,1,2012-09-01,22
580,4,97960.6638,3983480.8384000002,44,2012-09-01,22
590,3,21754.8196,734603.1972,10,2012-09-01,22
590,4,80023.6927,3477262.0105,33,2012-09-01,22
590,5,2019.9595,80798.38,1,2012-09-01,22
670,1,2959.2736,0.0,1,2012-09-01,22
670,2,16969.2036,669815.428,8,2012-09-01,22
670,3,112834.3145,4121834.9688999997,55,2012-09-01,22
670,4,84090.6836,3512677.8052,38,2012-09-01,22
670,5,11708.6184,457180.3286,6,2012-09-01,22
680,2,5031.9716,77262.4632,4,2012-09-01,22
680,3,97602.8711,3718972.4333,37,2012-09-01,22
680,4,33552.8195,1406813.546,12,2012-09-01,22
680,5,1052.0497,16492.650999999998,2,2012-09-01,22
690,3,2892.6523,80994.2644,1,2012-09-01,22
690,4,6305.5321,252221.28400000004,4,2012-09-01,22
770,1,63711.847,2766233.3169,27,2012-09-01,23
770,2,139887.0987,5275345.4459999995,69,2012-09-01,23
770,3,201362.3503,7607562.4907,110,2012-09-01,23
770,4,6245328.8735,243433080.3936,2608,2012-09-01,23
770,5,36234.7315,1302826.8875,15,2012-09-01,23
770,6,798093.6819,30363407.7211,372,2012-09-01,23
770,7,1582504.3463,52808831.4297,706,2012-09-01,23
