census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,3816.5256,152661.02399999998,3,2018-06-01,excluded
170,2,2347.8894,100959.2442,1,2018-06-01,excluded
170,3,457.1568,18286.271999999997,1,2018-06-01,excluded
170,4,757571.7021,32079059.1538,289,2018-06-01,excluded
170,5,11140.8937,518854.176,5,2018-06-01,excluded
170,6,108954.7065,4841580.6078,55,2018-06-01,excluded
170,7,387349.8878,15021329.2318,194,2018-06-01,excluded
170,8,27558.1409,926614.3447,10,2018-06-01,excluded
180,4,395341.3665,16551820.3291,195,2018-06-01,excluded
180,5,3346.0875,200765.25,1,2018-06-01,excluded
180,6,94578.9995,4612343.1439,63,2018-06-01,excluded
180,7,317856.5966,13459468.7467,198,2018-06-01,excluded
180,8,11305.7708,346156.661,6,2018-06-01,excluded
190,1,26226.6849,1179000.9711,15,2018-06-01,excluded
190,2,3061.2278,150000.1622,1,2018-06-01,excluded
190,3,3010.9096,120436.38399999999,1,2018-06-01,excluded
190,4,6781.132799999999,271245.312,3,2018-06-01,excluded
190,7,833.9518,0.0,1,2018-06-01,excluded
270,4,71334.5281,2949044.1485,40,2018-06-01,excluded
270,5,3168.1955,126727.81999999999,1,2018-06-01,excluded
270,6,3036.2913,143338.554,4,2018-06-01,excluded
270,7,8486.5084,381579.636,6,2018-06-01,excluded
280,2,626.4906,28192.076999999997,1,2018-06-01,excluded
280,4,18259.2199,853894.7106000001,14,2018-06-01,excluded
280,5,1255.8464,42596.9148,2,2018-06-01,excluded
280,6,9790.8113,441704.676,6,2018-06-01,excluded
280,7,13248.6105,433893.8406,11,2018-06-01,excluded
290,1,585.4655,18734.896,1,2018-06-01,excluded
290,4,145282.1009,5618387.3154,45,2018-06-01,excluded
290,6,16985.4603,723075.9577,9,2018-06-01,excluded
290,7,48117.6574,1691616.9417,23,2018-06-01,excluded
290,8,3143.0054,62860.108,1,2018-06-01,excluded
370,4,48670.1877,2567777.8097,21,2018-06-01,21
370,6,1410.3307,42309.921,1,2018-06-01,21
380,2,668.6628,26746.512,1,2018-06-01,21
380,4,76334.8605,3218082.6055,58,2018-06-01,21
380,7,3338.2754,116839.639,1,2018-06-01,21
390,4,36037.9411,1621008.0606,20,2018-06-01,21
390,5,489.7107,19588.428,1,2018-06-01,21
390,6,613.1119,58858.7424,1,2018-06-01,21
390,7,482.4271,46313.0016,1,2018-06-01,21
470,4,104069.9109,4475718.0331,57,2018-06-01,21
470,6,5276.7665,243145.722,3,2018-06-01,21
490,1,343.8449,17192.245,1,2018-06-01,21
490,2,1632.823,65312.920000000006,1,2018-06-01,21
490,3,3737.7265,149509.06,1,2018-06-01,21
490,4,482442.0439,22803004.2801,279,2018-06-01,21
490,6,14366.7654,553879.7812,7,2018-06-01,21
490,7,4886.2688,112119.5918,4,2018-06-01,21
570,1,26088.0493,878233.552,15,2018-06-01,22
570,2,8077.5161,236298.6038,4,2018-06-01,22
570,3,51042.4992,1850711.0101,19,2018-06-01,22
570,4,703107.0865,28965761.823,277,2018-06-01,22
570,5,32084.802,1271312.8422,14,2018-06-01,22
580,3,5196.3992,218248.7664,1,2018-06-01,22
580,4,93190.2516,3902882.4856000002,41,2018-06-01,22
590,3,22179.6011,982694.4092999999,7,2018-06-01,22
590,4,92214.0077,3856888.7098,35,2018-06-01,22
670,1,5013.8325,80221.32,1,2018-06-01,22
670,2,24921.6674,1020360.0616,8,2018-06-01,22
670,3,103695.5055,3748119.359,46,2018-06-01,22
670,4,108435.8193,4336938.0858,39,2018-06-01,22
670,5,12016.9457,543246.6536000001,3,2018-06-01,22
680,2,15590.5393,684279.611,7,2018-06-01,22
680,3,63962.206,2587576.768,21,2018-06-01,22
680,4,8307.9839,322671.83759999997,4,2018-06-01,22
690,1,2144.5455,85781.82,1,2018-06-01,22
690,2,1624.2529,56848.8515,1,2018-06-01,22
690,3,919.0898,36763.592,1,2018-06-01,22
690,4,22889.4564,1077561.83,7,2018-06-01,22
690,5,3818.8717,189080.9488,2,2018-06-01,22
770,1,42059.0982,1613874.5833,20,2018-06-01,23
770,2,104919.1705,4129596.1974,50,2018-06-01,23
770,3,237768.7677,9200903.095,91,2018-06-01,23
770,4,8457150.4363,341189467.4689,3106,2018-06-01,23
770,5,59579.5919,2057555.7909000001,24,2018-06-01,23
770,6,841862.6986,35832628.8139,364,2018-06-01,23
