census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,448.8718,17954.872,1,2018-03-01,excluded
170,3,2994.932,119797.28,1,2018-03-01,excluded
170,4,597097.5929,22830562.1412,234,2018-03-01,excluded
170,5,3866.7955,51525.4796,2,2018-03-01,excluded
170,6,80029.9621,2711596.2341,49,2018-03-01,excluded
170,7,369569.5915,11596330.4177,188,2018-03-01,excluded
170,8,4428.5614,187727.417,3,2018-03-01,excluded
180,2,2229.7027,89188.108,2,2018-03-01,excluded
180,4,362808.1273,13889762.9981,182,2018-03-01,excluded
180,6,79568.1603,3458225.9714,47,2018-03-01,excluded
180,7,372347.174,12910692.9053,221,2018-03-01,excluded
180,8,13070.5248,451118.2245,12,2018-03-01,excluded
190,1,22786.6871,893776.2074000001,14,2018-03-01,excluded
190,2,3307.7609,31493.483999999997,2,2018-03-01,excluded
190,4,2814.4704,112578.816,1,2018-03-01,excluded
190,7,11208.2158,192273.33800000002,6,2018-03-01,excluded
270,4,72419.2766,3190494.7192,41,2018-03-01,excluded
270,5,2690.754,134537.69999999998,1,2018-03-01,excluded
270,6,15156.1036,510607.1792,9,2018-03-01,excluded
270,7,31492.6194,1448618.4667,15,2018-03-01,excluded
280,4,29225.4116,727395.7668,20,2018-03-01,excluded
280,5,403.6812,7266.2616,1,2018-03-01,excluded
280,6,6143.5134,197173.1945,5,2018-03-01,excluded
280,7,18860.8301,469593.2792,14,2018-03-01,excluded
290,2,9683.4242,517809.5976,4,2018-03-01,excluded
290,4,97190.90090000001,4064188.6305,39,2018-03-01,excluded
290,5,3144.1206,220088.442,1,2018-03-01,excluded
290,6,15354.6368,593417.571,6,2018-03-01,excluded
290,7,32698.7972,1055629.7587,15,2018-03-01,excluded
370,4,57032.2983,2472742.0395,28,2018-03-01,21
370,6,2199.961,175996.87999999998,1,2018-03-01,21
380,2,753.3718,30134.872,1,2018-03-01,21
380,4,61979.172699999996,2994342.5785,53,2018-03-01,21
390,4,32250.680099999998,1407261.7913,20,2018-03-01,21
390,5,468.498,25767.39,1,2018-03-01,21
390,6,439.8008,0.0,1,2018-03-01,21
470,4,94603.3393,4432811.5623,60,2018-03-01,21
470,6,274.3511,19204.576999999997,1,2018-03-01,21
490,3,2104.6137,84184.548,1,2018-03-01,21
490,4,473300.5414,22923985.1631,256,2018-03-01,21
490,6,18609.8606,630232.618,12,2018-03-01,21
490,7,3337.0544,143819.0706,5,2018-03-01,21
570,1,11969.2873,526005.5575,6,2018-03-01,22
570,2,8708.8273,525979.6069,4,2018-03-01,22
570,3,40493.6417,1411147.7576000001,18,2018-03-01,22
570,4,611449.7114,25669565.568,246,2018-03-01,22
570,5,9576.5384,359470.0872,7,2018-03-01,22
580,3,3647.4815,164136.66749999998,1,2018-03-01,22
580,4,103461.7145,4247078.4427000005,43,2018-03-01,22
580,5,3815.1883,152607.532,1,2018-03-01,22
590,3,13822.0512,586876.402,5,2018-03-01,22
