census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,791.903,31676.120000000003,1,2009-11-01,excluded
170,4,523833.5989,20390075.5947,228,2009-11-01,excluded
170,5,7386.5691,295462.76399999997,3,2009-11-01,excluded
170,6,64561.106999999996,3229018.5296,39,2009-11-01,excluded
170,7,276697.89890000003,11436277.1198,183,2009-11-01,excluded
170,8,4556.0574,91121.14799999999,3,2009-11-01,excluded
180,2,4938.6888,181044.74639999997,3,2009-11-01,excluded
180,3,3730.0175,149200.7,1,2009-11-01,excluded
180,4,313312.4681,12747080.0081,174,2009-11-01,excluded
180,5,14441.4586,595753.1215,4,2009-11-01,excluded
180,6,74893.6224,3569250.0806,64,2009-11-01,excluded
180,7,380231.1283,16827292.3861,269,2009-11-01,excluded
180,8,13012.9171,397159.0441,8,2009-11-01,excluded
190,1,15096.4,436165.0232,10,2009-11-01,excluded
190,2,2401.5876,96063.50399999999,1,2009-11-01,excluded
190,3,3106.0195,142876.897,1,2009-11-01,excluded
190,4,8550.1568,378409.339,4,2009-11-01,excluded
190,5,1600.6182,40015.454999999994,1,2009-11-01,excluded
190,7,5364.2119999999995,0.0,2,2009-11-01,excluded
270,4,92947.6635,3453819.6336,41,2009-11-01,excluded
270,6,6007.242,242298.4986,4,2009-11-01,excluded
270,7,24286.331,692894.7453,19,2009-11-01,excluded
280,4,10310.7881,252852.2464,7,2009-11-01,excluded
280,6,4612.5929,205835.7311,4,2009-11-01,excluded
280,7,20802.878099999998,517368.517,21,2009-11-01,excluded
290,2,2460.6906,96458.1776,2,2009-11-01,excluded
290,3,717.7568,11296.0433,2,2009-11-01,excluded
290,4,108738.3544,3886983.2083,50,2009-11-01,excluded
290,5,5872.4768,234899.072,2,2009-11-01,excluded
290,6,10303.4393,469929.55950000003,6,2009-11-01,excluded
290,7,32994.8338,1079092.8892,17,2009-11-01,excluded
370,4,68585.1291,3137457.1266,42,2009-11-01,21
370,7,7097.7865,287515.031,2,2009-11-01,21
380,4,99516.4056,4608254.6991,85,2009-11-01,21
380,5,327.8047,13112.188000000002,1,2009-11-01,21
390,4,45703.68,1555642.543,27,2009-11-01,21
470,4,72474.5669,2624883.9972,43,2009-11-01,21
470,6,7343.228,352209.57700000005,3,2009-11-01,21
470,7,2920.6597,73016.49250000001,1,2009-11-01,21
480,4,345.0941,0.0,1,2009-11-01,21
480,6,1534.7775,30695.55,1,2009-11-01,21
490,1,3483.1811,52247.716499999995,1,2009-11-01,21
490,4,392187.0268,18782763.9062,217,2009-11-01,21
490,5,1923.3014,161557.3176,1,2009-11-01,21
490,6,11462.3868,352889.1884,5,2009-11-01,21
490,7,6922.3192,368010.0468,4,2009-11-01,21
570,1,13749.6844,454427.2272,6,2009-11-01,22
570,2,14157.6436,774464.7047,8,2009-11-01,22
570,3,38083.2825,1274581.6505,16,2009-11-01,22
570,4,558803.2858,23248147.9192,263,2009-11-01,22
570,5,17972.5497,782095.9717999999,12,2009-11-01,22
580,4,108532.69870000001,4251171.3652,52,2009-11-01,22
590,3,11870.4601,396797.6483,4,2009-11-01,22
590,4,63205.9273,2172416.1654,27,2009-11-01,22
590,5,398.7877,15951.507999999998,1,2009-11-01,22
670,2,14983.4675,509695.1376,5,2009-11-01,22
670,3,127324.4051,4415701.3324,55,2009-11-01,22
670,4,76847.5042,2929237.6091,31,2009-11-01,22
670,5,8820.4745,310956.24580000003,6,2009-11-01,22
680,1,3111.6375,99572.4,1,2009-11-01,22
680,2,4502.6759,111148.2816,2,2009-11-01,22
680,3,91831.5025,3380248.6099,42,2009-11-01,22
680,4,14316.5441,623308.7871000001,6,2009-11-01,22
680,5,3328.9454,143731.243,3,2009-11-01,22
690,4,26351.5346,958071.1514,8,2009-11-01,22
690,5,2881.9523,115278.092,1,2009-11-01,22
770,1,42337.2276,1439218.5617,19,2009-11-01,23
770,2,148606.7712,5160448.7445,87,2009-11-01,23
770,3,227854.0084,8352699.8462000005,122,2009-11-01,23
770,4,6518504.3646,243722701.1643,2771,2009-11-01,23
770,5,39087.2586,1231831.8886,19,2009-11-01,23
770,6,845113.9162,30247326.8823,418,2009-11-01,23
770,7,1704596.1436,51289297.288,784,2009-11-01,23
770,8,6955.320000000001,152565.9625,4,2009-11-01,23
1070,4,124465.7685,5090370.2654,69,2009-11-01,31-33
1070,6,3644.3192,218659.152,2,2009-11-01,31-33
1080,4,91270.4905,3630015.2414,44,2009-11-01,31-33
1080,7,3502.5756,175128.78,1,2009-11-01,31-33
1090,4,186204.5084,7642198.7747,88,2009-11-01,31-33
1090,5,2580.936,129046.8,1,2009-11-01,31-33
1170,3,2849.6943,113987.772,1,2009-11-01,31-33
1170,4,145671.9919,5577642.1103,68,2009-11-01,31-33
1170,7,3513.1576,140526.304,1,2009-11-01,31-33
1180,1,1005.0435,40201.74,1,2009-11-01,31-33
1180,4,431336.6784,17082850.583300002,235,2009-11-01,31-33
1180,6,2557.2973,43082.0352,2,2009-11-01,31-33
1180,7,5406.9632,369050.198,3,2009-11-01,31-33
1190,2,943.2519,9432.519,1,2009-11-01,31-33
1190,4,127622.3412,4275011.3214,63,2009-11-01,31-33
1190,6,7756.7405,400998.2714,4,2009-11-01,31-33
1190,7,12859.0849,701422.0872,4,2009-11-01,31-33
1270,4,196154.6304,7749125.6164,80,2009-11-01,31-33
1270,6,8296.9632,489550.5713,5,2009-11-01,31-33
1270,7,12780.503,488936.5823,5,2009-11-01,31-33
1280,4,157444.023,6091141.5062,76,2009-11-01,31-33
1280,6,2605.4335,104217.34,1,2009-11-01,31-33
1290,4,42240.8385,1583246.6119000001,19,2009-11-01,31-33
1370,4,213363.2711,9013691.0751,86,2009-11-01,31-33
1370,7,11958.9911,350098.8428,4,2009-11-01,31-33
1390,4,17901.2699,767872.4368,6,2009-11-01,31-33
1470,4,19572.8698,775719.6852000001,6,2009-11-01,31-33
1480,4,119417.3174,4592281.7757,49,2009-11-01,31-33
1480,7,1941.9392,155355.136,1,2009-11-01,31-33
1490,4,27726.7097,1134848.2665,12,2009-11-01,31-33
1490,6,2271.5996,102221.98199999999,3,2009-11-01,31-33
1490,7,4758.3174,220509.5235,2,2009-11-01,31-33
1570,4,41131.93,1484444.2438,12,2009-11-01,31-33
1590,4,83948.24650000001,3239093.2938,36,2009-11-01,31-33
1590,5,5826.826,201097.92930000002,2,2009-11-01,31-33
1590,6,3156.6446,94699.338,1,2009-11-01,31-33
1590,7,12018.139200000001,365676.9182,5,2009-11-01,31-33
1670,4,20465.5553,772998.3523,9,2009-11-01,31-33
1670,7,5526.9703,92882.181,3,2009-11-01,31-33
1680,4,178224.483,6539382.0445,67,2009-11-01,31-33
1680,6,6090.813,383236.632,2,2009-11-01,31-33
1680,7,13549.5209,445432.44,5,2009-11-01,31-33
1690,4,9249.9116,326156.4138,3,2009-11-01,31-33
1690,6,1855.3152,74212.60800000001,1,2009-11-01,31-33
1770,4,29113.1501,1147010.244,11,2009-11-01,31-33
1790,4,18351.1753,780950.0108,11,2009-11-01,31-33
1790,6,1794.96,65160.38160000001,2,2009-11-01,31-33
1790,7,7884.0359,441496.73089999997,3,2009-11-01,31-33
1870,4,181345.5851,7514454.2196,91,2009-11-01,31-33
1880,4,113333.5641,4554229.0414,45,2009-11-01,31-33
1890,4,66438.57370000001,2338146.4573,26,2009-11-01,31-33
1990,1,3924.8869999999997,135484.4945,2,2009-11-01,31-33
1990,2,1230.9302,36927.906,1,2009-11-01,31-33
1990,3,3105.0086,80730.2236,1,2009-11-01,31-33
1990,4,425079.3003,16659402.0495,201,2009-11-01,31-33
1990,5,488.9648,17602.7328,1,2009-11-01,31-33
1990,6,19540.0052,813935.2383,11,2009-11-01,31-33
1990,7,13760.1628,556887.7638,5,2009-11-01,31-33
2070,4,147153.8436,6423240.922,67,2009-11-01,31-33
2070,6,2351.3632,117568.15999999999,1,2009-11-01,31-33
2090,4,17072.6994,707610.5814,7,2009-11-01,31-33
2170,1,409.7651,12292.953000000001,1,2009-11-01,31-33
2170,4,165457.5044,7136842.6815,68,2009-11-01,31-33
2170,6,4528.8145,182245.4965,3,2009-11-01,31-33
2170,7,388.9099,9333.837599999999,1,2009-11-01,31-33
2180,4,42538.728,1818234.3981,23,2009-11-01,31-33
2190,1,3121.812,124872.48,1,2009-11-01,31-33
2190,4,419455.4274,17400714.4764,177,2009-11-01,31-33
2190,7,1045.848,62750.88,1,2009-11-01,31-33
2270,4,42278.9144,1689294.5567,20,2009-11-01,31-33
2280,4,117511.3376,4219684.5064,46,2009-11-01,31-33
2280,7,536.2954,8044.431,1,2009-11-01,31-33
2290,4,329254.3488,14248842.0735,140,2009-11-01,31-33
2290,6,488.9648,24448.24,1,2009-11-01,31-33
2370,4,284010.0984,11319918.3508,122,2009-11-01,31-33
2370,6,2682.1878,134109.39,1,2009-11-01,31-33
2380,4,64026.8011,2596093.7385,27,2009-11-01,31-33
2390,2,1890.8113,75632.452,1,2009-11-01,31-33
2390,4,72896.4378,2950985.9839999997,30,2009-11-01,31-33
2470,1,3083.3993,6166.7986,1,2009-11-01,31-33
