census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,2717.4977,163049.862,1,2013-03-01,excluded
170,3,4947.7934000000005,197911.73599999998,2,2013-03-01,excluded
170,4,544698.5185,19944528.6176,222,2013-03-01,excluded
170,5,6578.7783,26889.886000000002,3,2013-03-01,excluded
170,6,60681.1376,2026796.2409,35,2013-03-01,excluded
170,7,238228.7262,7488762.7533,153,2013-03-01,excluded
170,8,11467.5781,467748.5733,4,2013-03-01,excluded
180,2,318.3426,6366.852,1,2013-03-01,excluded
180,3,265.7913,10631.651999999998,1,2013-03-01,excluded
180,4,298608.8359,12170689.652,165,2013-03-01,excluded
180,5,5530.0244,55300.244000000006,1,2013-03-01,excluded
180,6,40666.8771,2053809.8442000002,38,2013-03-01,excluded
180,7,389442.181,16323142.6914,267,2013-03-01,excluded
180,8,30717.8079,1048139.885,17,2013-03-01,excluded
190,1,28819.9664,1032576.078,20,2013-03-01,excluded
190,4,2373.0427,56953.0248,1,2013-03-01,excluded
190,6,1578.2145,94692.87,1,2013-03-01,excluded
190,7,2671.8393,100280.668,2,2013-03-01,excluded
270,4,42108.1684,1717154.8777,20,2013-03-01,excluded
270,6,7996.3027,458914.7035,4,2013-03-01,excluded
270,7,14167.4316,571367.0198,15,2013-03-01,excluded
280,2,813.8842,34570.740999999995,2,2013-03-01,excluded
280,4,18413.0347,732898.6479,11,2013-03-01,excluded
280,6,378.6752,7573.504000000001,1,2013-03-01,excluded
280,7,21119.5632,635515.7235000001,24,2013-03-01,excluded
290,2,1551.6289,9309.7734,1,2013-03-01,excluded
290,4,77697.7087,2881404.6603,34,2013-03-01,excluded
290,6,15267.000900000001,633127.3851000001,8,2013-03-01,excluded
290,7,30733.4199,822614.9639,20,2013-03-01,excluded
370,4,93075.0456,4448502.1898,46,2013-03-01,21
370,6,4913.9409,207169.37399999998,4,2013-03-01,21
370,7,1876.3609999999999,93289.31599999999,2,2013-03-01,21
380,4,94424.1174,4298298.0398,79,2013-03-01,21
390,4,35572.1807,1491090.4054,26,2013-03-01,21
470,4,120707.5428,5451212.1790000005,63,2013-03-01,21
470,5,3689.5253,147581.012,1,2013-03-01,21
470,6,1331.691,26633.82,2,2013-03-01,21
490,1,771.3198,27712.664000000004,2,2013-03-01,21
490,4,746611.862,36470828.1588,349,2013-03-01,21
490,6,20295.9612,664946.1607,13,2013-03-01,21
490,7,21869.1309,902985.4795,9,2013-03-01,21
570,1,20222.4286,974550.9281,8,2013-03-01,22
570,2,9530.9391,412272.0354,3,2013-03-01,22
570,3,23137.0865,968860.6574,12,2013-03-01,22
570,4,508758.9137,21048954.7476,247,2013-03-01,22
570,5,26727.8279,1000094.4614,12,2013-03-01,22
580,4,107527.0043,4480438.3268,48,2013-03-01,22
590,3,32386.6763,1228127.7944,12,2013-03-01,22
590,4,60369.3808,2297777.5728,22,2013-03-01,22
670,1,1592.1738,74180.402,2,2013-03-01,22
670,2,23064.0926,846416.1613,7,2013-03-01,22
670,3,95473.8944,3494935.8442,39,2013-03-01,22
670,4,60785.233,2261181.9953,25,2013-03-01,22
670,5,4332.8714,173314.856,3,2013-03-01,22
680,1,2975.194,119007.76,1,2013-03-01,22
680,2,7429.9608,285293.8863,2,2013-03-01,22
680,3,82800.8163,3339350.013,33,2013-03-01,22
680,4,38150.4801,1544664.0308,13,2013-03-01,22
690,3,6766.8934,249059.272,3,2013-03-01,22
690,4,18128.8911,710862.9894999999,6,2013-03-01,22
770,1,33905.4888,1551099.7241,13,2013-03-01,23
770,2,105485.3169,4237975.6989,63,2013-03-01,23
770,3,227461.9506,8234485.693,115,2013-03-01,23
770,4,6012293.4048,229376468.9196,2471,2013-03-01,23
770,5,30223.5082,1170005.153,17,2013-03-01,23
770,6,897900.7718,33626086.0857,399,2013-03-01,23
770,7,1438331.3597,45383155.6126,652,2013-03-01,23
770,8,14237.2087,285715.766,4,2013-03-01,23
1070,4,90609.4644,3723376.144,56,2013-03-01,31-33
1070,5,2989.9725,119598.9,2,2013-03-01,31-33
1070,7,3866.4797999999996,157248.1632,3,2013-03-01,31-33
1080,4,57293.6872,2433159.8145,25,2013-03-01,31-33
1080,7,6386.8878,297437.436,2,2013-03-01,31-33
1090,4,130554.7859,4859771.1197,59,2013-03-01,31-33
1090,6,5991.1907,190478.82200000001,2,2013-03-01,31-33
1090,7,1061.2664,21225.328,1,2013-03-01,31-33
1170,4,146231.8868,6050739.1234,73,2013-03-01,31-33
1170,5,3180.9768,168591.7704,1,2013-03-01,31-33
1170,6,10455.1439,553749.2616,4,2013-03-01,31-33
1180,2,3015.9163,120636.652,1,2013-03-01,31-33
1180,4,487906.16610000003,19071577.5202,245,2013-03-01,31-33
1180,6,8499.142,423088.77,4,2013-03-01,31-33
1180,7,1241.2945,29791.068,1,2013-03-01,31-33
1190,4,202096.4179,7058808.9587,84,2013-03-01,31-33
1190,6,13546.8986,737775.5875,6,2013-03-01,31-33
1190,7,20868.3225,447508.4224,9,2013-03-01,31-33
1270,4,170304.825,6701516.8137,79,2013-03-01,31-33
1270,6,1800.5356000000002,60253.387,3,2013-03-01,31-33
1270,7,2922.9723,0.0,1,2013-03-01,31-33
1280,4,166447.4985,6637472.6798,74,2013-03-01,31-33
1280,6,1388.2771,55531.084,1,2013-03-01,31-33
1280,7,6547.1284,58841.592,3,2013-03-01,31-33
1290,1,522.2083,26110.415,1,2013-03-01,31-33
1290,4,71157.2066,3103785.8437,32,2013-03-01,31-33
1370,3,670.1553,10722.4848,1,2013-03-01,31-33
1370,4,217965.9833,8068495.2611,83,2013-03-01,31-33
1370,6,5911.1705,236446.82,3,2013-03-01,31-33
1370,7,5887.0949,296370.186,2,2013-03-01,31-33
1390,4,16799.045899999997,716809.5664,5,2013-03-01,31-33
1470,4,12968.1173,505113.81799999997,4,2013-03-01,31-33
1470,7,2420.8224,84728.784,1,2013-03-01,31-33
1480,4,81103.2691,3246967.5865,32,2013-03-01,31-33
1480,7,4833.6482,73994.0117,3,2013-03-01,31-33
1490,4,15315.3877,618725.6075,8,2013-03-01,31-33
1490,5,2911.5746,0.0,1,2013-03-01,31-33
1490,7,3131.4813,156574.065,1,2013-03-01,31-33
1570,4,22959.5606,957629.5371,10,2013-03-01,31-33
1570,5,526.7409,21069.636,1,2013-03-01,31-33
1570,6,5189.7622,311385.732,2,2013-03-01,31-33
1590,4,56452.6446,2048081.5632,22,2013-03-01,31-33
1590,6,14567.5287,489443.538,6,2013-03-01,31-33
1590,7,14249.0716,490855.25570000004,6,2013-03-01,31-33
1670,4,9122.5285,296292.5537,3,2013-03-01,31-33
1670,7,241.4916,5795.7984,1,2013-03-01,31-33
1680,3,2519.222,100768.88,1,2013-03-01,31-33
1680,4,212029.1324,7533617.7606,74,2013-03-01,31-33
1680,6,9876.4259,302205.999,4,2013-03-01,31-33
1680,7,6400.6671,50231.513999999996,3,2013-03-01,31-33
1690,4,5284.651,181224.3335,3,2013-03-01,31-33
1770,4,25105.39,1054711.9498,11,2013-03-01,31-33
1790,4,20705.6675,740740.3104,10,2013-03-01,31-33
1790,6,363.1719,23606.1735,1,2013-03-01,31-33
1870,4,200395.521,8700428.4772,88,2013-03-01,31-33
1880,4,123389.6564,4781523.5678,44,2013-03-01,31-33
1880,6,2779.3033,138965.165,1,2013-03-01,31-33
1880,7,2917.1559,52508.806200000006,1,2013-03-01,31-33
1890,4,107037.79060000001,4337610.8582,39,2013-03-01,31-33
1990,1,346.1579,17307.895,1,2013-03-01,31-33
1990,2,529.1844,0.0,1,2013-03-01,31-33
1990,4,532556.7953,20188551.0383,224,2013-03-01,31-33
1990,5,4357.7918,132019.1792,3,2013-03-01,31-33
1990,6,29663.4142,1363307.1428999999,12,2013-03-01,31-33
1990,7,11624.335,555121.1876000001,5,2013-03-01,31-33
2070,4,198183.794,8455361.5358,80,2013-03-01,31-33
2070,6,2959.509,118380.36,1,2013-03-01,31-33
2090,4,13174.4748,650232.037,6,2013-03-01,31-33
2090,7,1533.5494,46006.482,1,2013-03-01,31-33
2170,4,166930.905,7160403.9449000005,70,2013-03-01,31-33
2170,6,3654.2381,208496.2408,2,2013-03-01,31-33
2180,4,31742.6709,1476469.0559999999,13,2013-03-01,31-33
2190,4,479652.8979,20037991.8431,186,2013-03-01,31-33
2190,7,1743.2149,78444.6705,1,2013-03-01,31-33
2270,4,54949.383,2315502.7201,23,2013-03-01,31-33
2270,6,4208.3172,273540.618,1,2013-03-01,31-33
2280,4,147964.2992,5929248.3083,55,2013-03-01,31-33
2280,7,439.5496,15384.236,1,2013-03-01,31-33
2290,4,359600.672,14496341.1852,154,2013-03-01,31-33
2290,7,1466.4003,21996.0045,1,2013-03-01,31-33
2370,4,336955.0214,13428888.1234,134,2013-03-01,31-33
2370,6,7446.434499999999,375302.718,3,2013-03-01,31-33
2370,7,6807.7384,298623.305,2,2013-03-01,31-33
2380,4,100981.02960000001,4147273.1464,35,2013-03-01,31-33
2390,4,69234.1961,2605248.2229,27,2013-03-01,31-33
2470,4,23912.117000000002,1002134.0497999999,9,2013-03-01,31-33
2470,7,14472.5249,470015.28699999995,6,2013-03-01,31-33
2480,4,34046.287,1293998.8932,12,2013-03-01,31-33
2490,4,158126.4533,6444553.0597,62,2013-03-01,31-33
2490,6,3601.6284,162073.278,1,2013-03-01,31-33
2570,4,125238.1934,4757897.6438,58,2013-03-01,31-33
2570,6,6102.751200000001,244110.048,2,2013-03-01,31-33
2590,4,53495.9475,2322557.8106,24,2013-03-01,31-33
2590,6,3838.7509,83725.026,2,2013-03-01,31-33
2590,7,4845.9803999999995,248924.09849999996,3,2013-03-01,31-33
2670,4,303137.1048,12946938.8289,115,2013-03-01,31-33
2670,6,2182.2275,43644.55,1,2013-03-01,31-33
