census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,580.5042,23220.167999999998,1,2022-08-01,excluded
170,4,756492.3861,28636561.8646,231,2022-08-01,excluded
170,5,4657.9268,46579.268000000004,1,2022-08-01,excluded
170,6,125223.9802,5115350.5147,50,2022-08-01,excluded
170,7,323161.2736,13398768.793,134,2022-08-01,excluded
170,8,23524.5082,1279920.1828,8,2022-08-01,excluded
180,4,285111.5769,12264932.4989,120,2022-08-01,excluded
180,5,449.0857,17963.428,1,2022-08-01,excluded
180,6,55617.0735,2628373.1643,33,2022-08-01,excluded
180,7,294554.3387,13258949.2015,145,2022-08-01,excluded
180,8,12989.7407,359159.8191,7,2022-08-01,excluded
190,1,37147.6884,1474231.2499,18,2022-08-01,excluded
190,4,10869.4706,574866.5007999999,3,2022-08-01,excluded
190,5,3136.2099,56451.7782,1,2022-08-01,excluded
190,6,4039.8723,0.0,1,2022-08-01,excluded
270,4,67977.1023,3072318.4599,31,2022-08-01,excluded
270,6,6053.4926,250441.2081,6,2022-08-01,excluded
270,7,22273.0174,425469.4298,7,2022-08-01,excluded
280,4,21639.5062,1132428.9644,7,2022-08-01,excluded
280,6,3713.352,33083.132000000005,3,2022-08-01,excluded
280,7,10321.9198,343796.479,7,2022-08-01,excluded
290,1,543.9943,35903.623799999994,1,2022-08-01,excluded
290,4,108270.26389999999,4169009.1044,34,2022-08-01,excluded
290,6,9703.3202,377892.096,4,2022-08-01,excluded
290,7,18814.2836,716739.7887,5,2022-08-01,excluded
370,2,1894.2895,75771.58,1,2022-08-01,21
370,4,82177.2424,3587215.5302,30,2022-08-01,21
370,7,3159.8761,126395.044,1,2022-08-01,21
380,4,36087.0882,1844977.8259,31,2022-08-01,21
380,6,319.0826,16911.377800000002,1,2022-08-01,21
390,4,37128.9069,1595941.2267,17,2022-08-01,21
470,4,75168.8371,3456770.1087,33,2022-08-01,21
490,2,3126.9355,125077.42000000001,2,2022-08-01,21
490,4,362104.946,14802817.0616,153,2022-08-01,21
490,5,1678.7581,67150.324,1,2022-08-01,21
490,6,7996.7961,170291.5097,5,2022-08-01,21
490,7,13352.121299999999,732237.7216,6,2022-08-01,21
570,1,15631.335299999999,611959.796,5,2022-08-01,22
570,2,25550.3177,967973.3563999999,8,2022-08-01,22
570,3,51292.783200000005,2131507.9993000003,16,2022-08-01,22
570,4,631964.6701999999,25577244.9599,202,2022-08-01,22
570,5,22031.3533,1041751.6756,7,2022-08-01,22
570,6,1994.2971,159543.768,1,2022-08-01,22
570,7,4003.2168,160128.67200000002,1,2022-08-01,22
580,4,92310.2452,3992457.4544,34,2022-08-01,22
580,7,1426.1811,0.0,1,2022-08-01,22
590,2,1593.2103,63728.412,1,2022-08-01,22
590,3,25621.297899999998,853245.0014,9,2022-08-01,22
590,4,85734.4399,3798887.1594,24,2022-08-01,22
670,1,1244.8611,62243.05500000001,1,2022-08-01,22
670,2,14094.2353,568674.869,6,2022-08-01,22
670,3,129692.4505,4965759.7603,42,2022-08-01,22
670,4,89694.0473,3238858.8305,29,2022-08-01,22
670,5,11180.6108,518165.5584,4,2022-08-01,22
670,6,1358.1635,56879.591499999995,3,2022-08-01,22
670,7,3999.0603,159962.412,1,2022-08-01,22
680,1,4344.5764,173783.05599999998,1,2022-08-01,22
680,2,4245.3476,178304.5992,1,2022-08-01,22
680,3,89374.7129,3634202.3275,25,2022-08-01,22
680,4,23416.734,1095064.9106,10,2022-08-01,22
680,6,2810.7313999999997,105846.32949999999,2,2022-08-01,22
680,7,1928.6008,135002.05599999998,1,2022-08-01,22
690,3,12240.8087,339841.28839999996,3,2022-08-01,22
690,4,30159.6683,949374.0419000001,8,2022-08-01,22
690,5,3708.9272,148357.088,1,2022-08-01,22
770,1,37493.3978,1500703.0608,16,2022-08-01,23
770,2,102747.4227,4041098.1003,37,2022-08-01,23
770,3,253351.6488,9812117.518099999,88,2022-08-01,23
770,4,8699651.2797,340898010.3142,2584,2022-08-01,23
770,5,57220.333099999996,2463745.9452,20,2022-08-01,23
770,6,1109990.6155,43597168.6291,362,2022-08-01,23
770,7,1686798.0714,59383572.524,523,2022-08-01,23
770,8,5011.0149,157758.411,2,2022-08-01,23
1070,4,177054.1791,6836615.7424,58,2022-08-01,31-33
1070,7,5695.0064,214440.47840000002,2,2022-08-01,31-33
1080,4,47748.9077,1560167.19,20,2022-08-01,31-33
1080,7,5670.5548,226822.192,2,2022-08-01,31-33
1090,4,115883.4248,4994364.6936,39,2022-08-01,31-33
