census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,6923.3096000000005,289844.015,2,2021-09-01,excluded
170,2,1554.983,62199.32,1,2021-09-01,excluded
170,4,789609.2793,32768009.2493,249,2021-09-01,excluded
170,5,507.9032,20316.128,1,2021-09-01,excluded
170,6,89776.3475,2939195.7736,40,2021-09-01,excluded
170,7,379395.7296,14319006.9924,167,2021-09-01,excluded
170,8,15944.637700000001,706234.4152,9,2021-09-01,excluded
180,1,317.1546,12686.184000000001,1,2021-09-01,excluded
180,4,251102.7393,10024674.680399999,111,2021-09-01,excluded
180,5,6586.944,264315.2266,5,2021-09-01,excluded
180,6,76488.0715,3714703.0474,43,2021-09-01,excluded
180,7,313467.2113,13841857.0155,154,2021-09-01,excluded
180,8,6131.4043,197670.3325,2,2021-09-01,excluded
190,1,31597.0524,1458152.3012,17,2021-09-01,excluded
190,2,6297.2811,251891.244,3,2021-09-01,excluded
190,3,802.3772,32095.088,1,2021-09-01,excluded
190,4,12032.246000000001,510837.1816,3,2021-09-01,excluded
190,7,2015.5028,28206.9052,2,2021-09-01,excluded
270,4,78400.9799,2873140.6041,28,2021-09-01,excluded
270,6,5021.6775,211826.7558,5,2021-09-01,excluded
270,7,10902.2092,339243.82259999996,5,2021-09-01,excluded
280,4,25068.9119,1220601.6743,8,2021-09-01,excluded
280,6,3497.0972,75539.022,4,2021-09-01,excluded
280,7,8541.159599999999,199294.015,6,2021-09-01,excluded
290,3,459.3548,0.0,1,2021-09-01,excluded
290,4,98930.8067,3722178.6227,32,2021-09-01,excluded
290,5,4042.6672000000003,164151.5165,3,2021-09-01,excluded
290,6,14415.5274,585861.0485,6,2021-09-01,excluded
290,7,27651.1766,1058883.451,12,2021-09-01,excluded
290,8,3236.0793,48541.1895,1,2021-09-01,excluded
370,4,39460.1826,1540860.5522,15,2021-09-01,21
370,6,4088.1101,163524.40399999998,1,2021-09-01,21
380,4,41628.6225,1863983.6769,35,2021-09-01,21
390,4,45259.8841,1962928.7338,18,2021-09-01,21
390,7,3038.1171000000004,102818.34800000001,3,2021-09-01,21
470,3,1220.5564,19528.9024,1,2021-09-01,21
470,4,104541.6426,4313313.4614,42,2021-09-01,21
470,6,5663.230799999999,288923.664,2,2021-09-01,21
490,4,369279.27270000003,15703618.496100001,159,2021-09-01,21
490,6,1118.485,89478.79999999999,1,2021-09-01,21
490,7,10902.1835,471638.18200000003,7,2021-09-01,21
570,1,13948.1964,612828.2916,5,2021-09-01,22
570,2,17408.1234,823625.0014000001,6,2021-09-01,22
570,3,43406.8518,1714216.9908,12,2021-09-01,22
570,4,643758.8878,27598463.3895,204,2021-09-01,22
570,5,12022.8121,519066.13399999996,7,2021-09-01,22
570,6,327.8907,16394.535,1,2021-09-01,22
570,7,2035.3148,111942.31400000001,1,2021-09-01,22
580,3,4223.2912,168931.648,1,2021-09-01,22
580,4,97752.7286,4299221.4208,37,2021-09-01,22
590,3,10083.464899999999,282042.476,3,2021-09-01,22
590,4,119275.0857,5167407.864,33,2021-09-01,22
670,2,32717.9357,1038817.6338,9,2021-09-01,22
670,3,136530.3005,5107862.0401,42,2021-09-01,22
670,4,85811.3674,3307993.561,32,2021-09-01,22
670,7,326.9654,14713.443,1,2021-09-01,22
680,1,4260.314,170412.56,1,2021-09-01,22
680,2,5498.5022,199144.8584,2,2021-09-01,22
680,3,64457.5923,2559466.4858,24,2021-09-01,22
